date,exercise,variant,set1weight,set1reps,set2weight,set2reps,set3weight,set3reps,set4weight,set4reps,set5weight,set5reps,set6weight,set6reps
2016-10-04,squat,barbell,152.5,5,190,5,230,5,267.5,5,305,5,,
2016-10-04,bench,barbell,90,5,110,5,132.5,5,155,5,177.5,5,,
2016-10-04,row,barbell,87.5,5,110,5,132.5,5,152.5,5,175,5,,
2016-10-04,tricep extension,barbell,85,8,85,7,,,,,,,,
2016-10-06,squat,low bar,152.5,5,190,5,230,5,230,5,,,,
2016-10-06,press,barbell,85,5,102.5,5,120,5,137.5,5,,,,
2016-10-06,deadlift,barbell,135,5,190,5,230,5,267.5,5,305,5,,
2016-10-06,bicep curl,barbell,90,8,90,8,,,,,,,,
2016-10-08,squat,low bar,152.5,5,190,5,230,5,267.5,5,312.5,3,230,8
2016-10-08,bench,barbell,90,5,110,5,135,5,155,5,182.5,4,135,12
2016-10-08,row,barbell,87.5,5,110,5,135,5,152.5,5,180,4,135,9
2016-10-08,tricep extension,cable - angle bar pulldown,100,10,115,10,130,9,145,6,,,,
2016-10-11,squat,low bar,157.5,5,195,5,235,5,272.5,5,312.5,5,,
2016-10-11,bench,barbell,95,5,115,5,137.5,5,160,5,182.5,5,,
2016-10-11,row,barbell,95,5,112.5,5,135,5,157.5,5,180,5,,
2016-10-11,tricep extension,cable - angle bar pulldown,140,8,140,10,140,9,,,,,,
2016-10-14,squat,low bar,157.5,5,195,5,235,5,235,5,,,,
2016-10-14,press,barbell,90,5,107.5,5,125,5,142.5,3,107.5,8,,
2016-10-14,bicep curl,barbell,92.5,8,92.5,8,,,,,,,,
2016-10-14,deadlift,barbell,135,5,195,5,235,5,272.5,5,312.5,5,235,5
2016-10-16,squat,low bar,157.5,5,195,5,235,5,272.5,5,320,3,235,8
2016-10-16,bench,barbell,95,5,115,5,137.5,5,160,5,187.5,4,137.5,10
2016-10-16,row,barbell,95,5,115,5,137.5,5,160,5,187.5,3,137.5,10
2016-10-16,tricep extension,cable - angle bar pulldown,155,8,155,8,155,8,
2016-10-18,squat,low bar,160,5,200,5,240,5,280,5,320,5
2016-10-18,bench,barbell,95,5,117.5,5,140,5,165,5,187.5,5
2016-10-18,row,barbell,95,5,115,5,140,5,162.5,5,185,5
2016-10-18,tricep extension,cable - angle bar pulldown,160,8,160,8,160,8
2016-10-21,squat,low bar,160,5,200,5,240,5,240,5
2016-10-21,press,barbell,90,5,107.5,5,125,5,142.5,3
2016-10-21,deadlift,barbell,135,5,200,5,240,5,280,5,320,5
2016-10-21,bicep curl,barbell,95,8,95,7
2016-10-23,squat,low bar,160,5,200,5,240,5,280,5,330,3,240,8
2016-10-23,bench,barbell,95,5,117.5,5,140,5,165,5,192.5,4,140,12
2016-10-23,row,barbell,95,5,115,5,140,5,162.5,5,190,3,140,10
2016-10-23,tricep extension,cable - angle bar,170,8,170,7,170,6
2016-10-25,squat,low bar,165,5,207.5,5,247.5,5,290,5,330,4
2016-10-25,bench,barbell,97.5,5,120,5,145,5,167.5,5,192.5,4
