date,exercise,equipment,variant,set1weight,set1reps,set2weight,set2reps,set3weight,set3reps,set4weight,set4reps,set5weight,set5reps,set6weight,set6reps
2017-03-09,squat,dumbbell,front,100,10,100,10,100,10
2017-03-09,bench,dumbbell,flat,100,12,100,12,100,12
2017-03-09,row,dumbbell,kroc,100,12,100,12,100,12
2017-03-09,bench,dumbbell,incline,100,8,100,8
2017-03-06,squat,barbell,low bar,195,5,230,5,260,5,295,5
2017-03-06,press,barbell,overhead,85,5,110,5,125,5,140,3,100,8
2017-03-06,deadlift,barbell,conventional,185,5,225,5,255,5,290,5,325,5
2017-03-06,pullup,chinup,neutral,0,5,0,5,0,4
2017-03-06,bicep curl,dumbbell,alternating,70,12,80,10,90,6
2017-03-04,squat,barbell,low bar,195,5,230,5,260,5,295,5,330,3,260,8
2017-03-04,bench,barbell,flat,120,5,140,5,160,5,180,5,200,3,160,10
2017-03-04,row,barbell,pendlay,120,5,145,5,165,5,185,5,205,3,165,8
2017-03-04,bench,barbell,incline,120,8,140,8,160,3
2017-03-04,dips,body weight,conventional,0,8
2017-03-01,squat,barbell,low bar,195,5,230,5,260,5,295,5,330,3,260,8
2017-03-01,bench,barbell,flat,120,5,140,5,160,5,180,5,200,3,160,10
2017-03-01,row,barbell,pendlay,120,5,145,5,165,5,185,5,205,3,165,8
2017-03-01,bench,barbell,incline,120,9,140,8,160,3
2017-03-01,dips,body weight,conventional,0,6,0,5,0,3
2017-02-27,squat,barbell,low bar,195,5,225,5,260,5,290,5
2017-02-27,press,barbell,overhead,85,5,112.5,5,127.5,5,142.5,2,112.5,8,97.5,8
2017-02-27,deadlift,barbell,conventional,185,5,225,5,255,5,285,5,320,5
2017-02-27,pullup,pullup,wide,0,5,0,5,0,4
2017-02-27,bicep curl,dumbbell,alternating,60,12,70,10,80,8
2017-02-25,squat,barbell,low bar,195,5,225,5,260,5,290,5,325,5
2017-02-25,bench,barbell,flat,120,5,140,5,160,5,180,5,200,3,160,10
2017-02-25,row,barbell,pendlay,115,5,140,5,160,5,180,5,200,5
2017-02-25,bench,barbell,incline,95,8,115,8,135,8
2017-02-25,dips,body weight,conventional,0,10,0,6,0,5
2017-02-22,squat,barbell,low bar,195,5,225,5,260,5,290,5,325,3,260,8
2017-02-22,bench,barbell,flat,120,5,140,5,160,5,180,5,200,4,160,10
2017-02-22,row,barbell,pendlay,120,5,140,5,160,5,180,5,200,3,160,8
2017-02-22,dips,body weight,conventional,0,10,0,10,0,10
2017-02-19,squat,barbell,low bar,185,5,225,5,255,5,285,5
2017-02-19,press,barbell,overhead,82.5,5,97.5,5,110,5,125,5,140,5,110,8
2017-02-19,deadlift,barbell,conventional,180,5,215,5,250,5,280,5,315,5
2017-02-19,pullup,chinup,neutral,0,5,0,5,0,5
2017-02-17,squat,barbell,low bar,190,5,225,5,255,5,285,5,320,5
2017-02-17,bench,barbell,flat,120,5,140,5,160,5,180,5,200,3,160,10
2017-02-17,row,barbell,pendlay,115,5,135,5,155,5,175,5,195,5
2017-02-17,dips,body weight,conventional,0,10,0,10,0,10
2017-02-14,squat,barbell,low bar,190,5,225,5,255,5,285,5,320,4,255,8
2017-02-14,bench,barbell,flat,120,5,140,5,160,5,180,5,200,3,160,9
2017-02-14,row,barbell,pendlay,115,5,135,5,155,5,175,5,195,4,155,9
2017-02-14,dips,body weight,conventional,0,10,0,10,0,10
2017-02-12,squat,barbell,low bar,185,5,220,5,250,5,280,5
2017-02-12,press,barbell,overhead,82.5,5,95,5,110,5,122.5,5,137.5,5
2017-02-12,deadlift,barbell,conventional,180,5,210,5,245,5,275,5,310,5
2017-02-12,pullup,chinup,neutral,0,5,0,5,0,5
2017-02-10,squat,barbell,low bar,185,5,220,5,250,5,280,5,315,5
2017-02-10,bench,barbell,flat,115,5,135,5,155,5,175,5,195,5,155,11
2017-02-10,row,barbell,pendlay,115,5,135,5,150,5,170,5,190,5
2017-02-10,dips,body weight,conventional,0,9,0,9,0,9
2017-02-07,squat,barbell,low bar,185,5,225,5,270,5,280,5,315,3,250,8
2017-02-07,bench,barbell,flat,115,5,135,5,155,5,175,5,195,3,155,10
2017-02-07,row,barbell,pendlay,115,5,135,5,150,5,170,5,190,4,150,10
2017-02-07,dips,body weight,conventional,0,8,0,9,0,8
2017-02-02,squat,barbell,low bar,155,5,190,5,230,5,270,5,310,5
2017-02-02,bench,barbell,flat,115,5,135,5,155,5,170,5,190,5,155,8
2017-02-02,row,barbell,pendlay,110,5,130,5,150,5,165,5,185,5
2017-02-02,dips,body weight,conventional,0,8,0,8,0,8
2017-02-05,squat,barbell,low bar,185,5,215,5,245,5,275,5
2017-02-05,press,barbell,overhead,90,5,95,5,107.5,5,120,5,135,5
2017-02-05,deadlift,barbell,conventional,175,5,210,5,240,5,270,5,305,5
2017-02-05,pullup,chinup,neutral,0,5,0,5,0,5
2017-01-26,squat,barbell,low bar,177.5,5,225,5,267.5,5,310,5,365,2,267.5,8
2017-01-26,bench,barbell,flat,102.5,5,135,5,155,5,180,5,210,3,155,13
2017-01-26,row,barbell,pendlay,105,5,135,5,157.5,5,185,5,215,3,157.5,10
2017-01-26,dips,body weight,conventional,0,7,0,7,0,7
2017-01-24,squat,barbell,low bar,177.5,5,225,5,267.5,5,267.5,5
2017-01-24,press,barbell,overhead,95,5,110,5,130,5,147.5,3,110,8
2017-01-24,deadlift,barbell,conventional,135,5,225,5,267.5,5,310,5,355,5
2017-01-24,pullup,chinup,neutral,0,5,0,5,0,5
2017-01-21,squat,barbell,low bar,177.5,5,225,5,267.5,5,310,5,355,5
2017-01-21,bench,barbell,flat,102.5,5,127.5,5,155,5,180,5,205,5,155,13
