date,exercise,equipment,variant,set1weight,set1reps,set2weight,set2reps,set3weight,set3reps,set4weight,set4reps,set5weight,set5reps,set6weight,set6reps,set7weight,set7reps,set8weight,set8reps,set9weight,set9reps,set10weight,set10reps,set11weight,set11reps,set12weight,set12reps
2019-11-18,pullup,pullup,wide,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3
2019-11-16,squat,barbell,low bar,335,5,335,5,335,5
2019-11-16,deadlift,barbell,conventional,425,6
2019-11-14,bench,barbell,flat,250,1,250,1,250,1,250,1,250,1
2019-11-14,press,barbell,overhead,160,5,160,5,160,5
2019-11-14,row,barbell,pendlay,225,5,225,5,225,5
2019-11-14,bench,barbell,incline,185,8,185,8,185,8
2019-11-14,pullup,pullup,wide,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3
2019-11-12,squat,barbell,low bar,330,5,330,5,330,5
2019-11-12,bench,barbell,flat,235,3,235,3,235,3
2019-11-12,row,barbell,pendlay,220,5,220,5,220,5
2019-11-12,bench,barbell,decline,195,10,195,10,195,10
2019-11-12,pullup,pullup,wide,0,5,0,5,0,5
2019-11-10,bench,barbell,flat,220,5,220,5,220,5
2019-11-10,press,barbell,overhead,155,5,155,5,155,5
2019-11-10,row,barbell,pendlay,215,5,215,5,215,5
2019-11-10,bench,dumbbell,15-degree,160,10,170,6
2019-11-10,pullup,pullup,wide,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3
2019-11-09,squat,barbell,low bar,325,5,325,5,325,5
2019-11-09,deadlift,barbell,conventional,415,6
2019-11-07,bench,barbell,flat,245,1,245,1,245,1,245,1,245,1
2019-11-07,press,barbell,overhead,150,5,150,5,150,5
2019-11-07,row,barbell,pendlay,210,5,210,5,210,5
2019-11-07,bench,barbell,incline,185,8,185,8
2019-11-07,pullup,pullup,wide,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3
2019-11-05,squat,barbell,low bar,320,5,320,5,320,5
2019-11-05,bench,barbell,flat,230,3,230,3,230,3
2019-11-05,row,barbell,pendlay,185,5,205,5,205,5
2019-11-05,bench,barbell,decline,195,8,195,8
2019-11-05,pullup,pullup,wide,0,3,0,3,0,3
2019-11-03,bench,barbell,flat,215,5,215,5,215,5
2019-11-03,press,barbell,overhead,145,5,145,5,145,5
2019-11-03,row,barbell,pendlay,225,5,225,5,225,5
2019-11-03,bench,dumbbell,15-degree,160,10,160,10
2019-11-03,pullup,pullup,wide,0,3,0,3,0,3,0,3,0,4
2019-11-02,squat,barbell,low bar,315,5,315,5,315,5
2019-11-02,deadlift,barbell,conventional,405,6
